,code_insee,nom_standard,nom_sans_pronom,nom_a,nom_de,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,academie_code,academie_nom,code_postal,codes_postaux,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,nom_unite_urbaine,taille_unite_urbaine,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,superficie_km2,densite,altitude_moyenne,altitude_minimale,altitude_maximale,latitude_mairie,longitude_mairie,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,niveau_equipements_services,niveau_equipements_services_texte,gentile,url_wikipedia,url_villedereve
1867,06001,Aiglun,Aiglun,à Aiglun,d'Aiglun,aiglun,AIGLUN,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06910,06910,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,93,1543,15,6.0,840,373.0,1541.0,43.858,6.915,43.852,6.935,7,Rural à habitat très dispersé,0.0,communes non pôle,Aiglenois,https://fr.wikipedia.org/wiki/fr:Aiglun (Alpes-Maritimes),https://villedereve.fr/ville/06001-aiglun
1868,06002,Amirat,Amirat,à Amirat,d'Amirat,amirat,AMIRAT,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0611,Grasse-1,200039857,CA du Pays de Grasse,23,Nice,06910,06910,09304,06029,06000,,0.0,HORS UNITE URBAINE,H,51,1293,13,4.0,1030,725.0,1373.0,43.89,6.826,43.896,6.813,7,Rural à habitat très dispersé,0.0,communes non pôle,Amiratois,https://fr.wikipedia.org/wiki/fr:Amirat,https://villedereve.fr/ville/06002-amirat
1869,06003,Andon,Andon,à Andon,d'Andon,andon,ANDON,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0611,Grasse-1,200039857,CA du Pays de Grasse,23,Nice,06750,06750,09304,06029,06000,,0.0,HORS UNITE URBAINE,H,640,5428,54,12.0,1253,911.0,1649.0,43.773,6.786,43.777,6.823,6,Rural à habitat dispersé,1.0,centres locaux d'équipements et de services,Andonnais-Thorencois,https://fr.wikipedia.org/wiki/fr:Andon (Alpes-Maritimes),https://villedereve.fr/ville/06003-andon
1870,06004,Antibes,Antibes,à Antibes,d'Antibes,antibes,ANTIBES,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0694,Antibes,240600585,CA de Sophia Antipolis,23,Nice,06160,"06901, 06632, 06161, 06631, 06160, 06605, 06600, 06299, 06606, 06162, 06603, 06633, 06904, 06602, 06164, 06601, 06903",09304,06029,06701,Nice,7.0,UNITE URBAINE,B,75130,2699,27,2784.0,44,0.0,163.0,43.581,7.128,43.588,7.106,1,Grands centres urbains,3.0,centres structurants d'équipements et de services,Antibois,https://fr.wikipedia.org/wiki/fr:Antibes,https://villedereve.fr/ville/06004-antibes
1871,06005,Ascros,Ascros,à Ascros,d'Ascros,ascros,ASCROS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,178,1748,17,10.0,997,600.0,1449.0,43.921,7.014,43.919,7.016,7,Rural à habitat très dispersé,0.0,communes non pôle,Ascrossois,https://fr.wikipedia.org/wiki/fr:Ascros,https://villedereve.fr/ville/06005-ascros
1872,06006,Aspremont,Aspremont,à Aspremont,d'Aspremont,aspremont,ASPREMONT,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0624,Tourrette-Levens,200030195,Métropole Nice Côte d'Azur,23,Nice,06790,06790,09315,06088,06701,Nice,7.0,UNITE URBAINE,B,2300,924,9,249.0,493,100.0,855.0,43.785,7.244,43.775,7.245,4,Ceintures urbaines,1.0,centres locaux d'équipements et de services,Aspremontois,https://fr.wikipedia.org/wiki/fr:Aspremont (Alpes-Maritimes),https://villedereve.fr/ville/06006-aspremont
1873,06007,Auribeau-sur-Siagne,Auribeau-sur-Siagne,à Auribeau-sur-Siagne,d'Auribeau-sur-Siagne,auribeau-sur-siagne,AURIBEAU-SUR-SIAGNE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0613,Mandelieu-la-Napoule,200039857,CA du Pays de Grasse,23,Nice,06810,06810,09304,06029,06701,Nice,7.0,UNITE URBAINE,B,3251,527,5,617.0,108,12.0,302.0,43.6,6.911,43.612,6.912,4,Ceintures urbaines,1.0,centres locaux d'équipements et de services,Auribellois,https://fr.wikipedia.org/wiki/fr:Auribeau-sur-Siagne,https://villedereve.fr/ville/06007-auribeau-sur-siagne
1874,06008,Auvare,Auvare,à Auvare,d'Auvare,auvare,AUVARE,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200039931,CC Alpes d'Azur,23,Nice,06260,06260,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,44,1795,18,2.0,1412,479.0,2133.0,43.988,6.908,44.007,6.915,7,Rural à habitat très dispersé,0.0,communes non pôle,Auvarois,https://fr.wikipedia.org/wiki/fr:Auvare,https://villedereve.fr/ville/06008-auvare
1875,06009,Bairols,Bairols,à Bairols,de Bairols,bairols,BAIROLS,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0626,Vence,200030195,Métropole Nice Côte d'Azur,23,Nice,06420,06420,09315,06088,06000,,0.0,HORS UNITE URBAINE,H,124,1503,15,8.0,956,280.0,1803.0,43.983,7.126,43.987,7.12,7,Rural à habitat très dispersé,0.0,communes non pôle,Bairolois,https://fr.wikipedia.org/wiki/fr:Bairols,https://villedereve.fr/ville/06009-bairols
1876,06010,Le Bar-sur-Loup,Bar-sur-Loup,au Bar-sur-Loup,du Bar-sur-Loup,le-bar-sur-loup,LE BAR-SUR-LOUP,COM,commune,93,Provence-Alpes-Côte d'Azur,06,Alpes-Maritimes,0625,Valbonne,240600585,CA de Sophia Antipolis,23,Nice,06620,06620,09304,06029,06701,Nice,7.0,UNITE URBAINE,B,2947,1446,14,204.0,615,100.0,1312.0,43.702,6.989,43.699,6.963,4,Ceintures urbaines,1.0,centres locaux d'équipements et de services,Aubarnais ou Barois,https://fr.wikipedia.org/wiki/fr:Le Bar-sur-Loup,https://villedereve.fr/ville/06010-le-bar-sur-loup
